id;id_venda;dt_pgto
1;1;28/11/2018
2;2;12/02/2018
3;3;23/05/2018
4;4;13/07/2020
5;5;23/08/2018
6;8;20/09/2018
7;9;05/09/2018
8;10;13/11/2018
9;11;15/06/2019
10;12;02/09/2019
11;13;14/12/2018
12;15;01/03/2019
13;16;18/01/2020
14;17;24/07/2019
15;18;07/03/2020
16;19;11/04/2019
17;20;02/09/2019
18;21;19/08/2019
19;22;30/09/2019
20;23;06/03/2018
21;24;01/07/2019
22;25;06/06/2018
23;26;03/11/2018
24;27;23/06/2019
25;28;25/12/2018
26;29;07/01/2019
27;30;19/07/2018
28;31;16/02/2018
29;32;01/02/2018
30;33;07/04/2020
31;34;01/06/2018
32;35;27/03/2020
33;36;21/08/2020
34;37;12/09/2019
35;38;18/03/2019
36;39;04/04/2020
37;40;05/06/2020
38;41;16/06/2018
39;42;28/08/2019
40;43;04/10/2019
41;44;03/06/2018
42;45;15/09/2019
43;47;28/12/2019
44;48;11/12/2019
45;50;10/03/2020
46;51;18/02/2018
47;52;18/10/2018
48;53;14/08/2018
49;54;17/03/2019
50;55;09/07/2020
51;56;25/07/2018
52;57;19/03/2020
53;58;10/06/2020
54;59;21/09/2020
55;60;29/03/2019
56;61;10/07/2019
57;62;14/06/2020
58;63;23/08/2018
59;64;20/07/2019
60;67;09/01/2020
61;68;31/05/2019
62;69;18/08/2020
63;70;23/05/2020
64;71;27/03/2018
65;72;10/03/2020
66;73;15/07/2018
67;74;24/04/2020
68;75;21/06/2020
69;76;27/04/2018
70;77;19/08/2018
71;78;11/09/2018
72;79;13/09/2020
73;80;01/05/2020
74;81;23/05/2018
75;82;01/08/2018
76;83;22/08/2020
77;84;05/08/2020
78;85;29/12/2019
79;86;20/04/2020
80;87;13/09/2018
81;88;16/05/2019
82;91;10/09/2019
83;94;21/01/2019
84;95;11/07/2020
85;96;09/02/2019
86;97;16/04/2020
87;98;18/07/2018
88;100;14/08/2018
89;101;08/02/2019
90;104;15/06/2019
91;105;14/06/2019
92;106;07/04/2019
93;108;15/08/2019
94;109;06/02/2019
95;110;15/09/2018
96;112;05/09/2018
97;113;03/12/2019
98;114;22/03/2018
99;115;08/11/2019
100;116;03/07/2019
101;117;02/05/2019
102;118;21/01/2020
103;119;14/10/2019
104;120;12/08/2018
105;121;26/01/2018
106;122;09/05/2020
107;123;24/12/2019
108;125;18/12/2018
109;128;25/07/2020
110;129;11/01/2020
111;130;27/10/2019
112;131;11/04/2020
113;133;07/09/2019
114;134;19/11/2019
115;135;04/05/2020
116;136;14/03/2020
117;137;10/10/2020
118;138;17/04/2019
119;139;30/01/2019
120;140;03/08/2020
121;142;06/11/2019
122;144;01/05/2020
123;146;04/09/2019
124;147;10/11/2018
125;148;29/05/2018
126;149;17/04/2018
127;150;02/01/2020
128;152;03/03/2019
129;153;09/06/2020
130;154;22/12/2018
131;155;03/07/2020
132;158;09/02/2018
133;159;26/02/2020
134;160;12/12/2018
135;161;22/07/2020
136;162;20/06/2020
137;165;21/02/2020
138;166;17/04/2020
139;167;10/07/2019
140;168;21/07/2018
141;169;27/04/2020
142;170;29/01/2020
143;171;03/07/2020
144;172;14/07/2018
145;173;15/02/2018
146;174;04/09/2018
147;175;27/01/2019
148;178;11/09/2018
149;179;06/07/2020
150;180;29/08/2019
151;181;10/04/2018
152;182;09/02/2020
153;184;22/04/2019
154;185;05/11/2019
155;186;13/09/2018
156;187;09/01/2020
157;188;27/06/2020
158;189;25/08/2018
159;191;23/09/2020
160;192;22/01/2019
161;193;16/01/2020
162;194;11/07/2018
163;195;04/02/2019
164;196;30/09/2018
165;197;22/08/2019
166;198;04/04/2018
167;199;09/02/2020
168;200;21/06/2018
169;201;04/12/2018
170;202;14/04/2020
171;203;05/05/2018
172;205;12/05/2019
173;206;16/06/2020
174;207;14/08/2019
175;209;03/08/2018
176;210;05/07/2019
177;211;14/04/2020
178;212;21/01/2019
179;213;07/10/2019
180;214;23/08/2019
181;215;03/07/2019
182;217;07/04/2019
183;218;14/04/2018
184;219;27/05/2018
185;221;24/02/2018
186;222;30/04/2019
187;223;30/03/2018
188;224;11/04/2019
189;225;10/05/2020
190;227;05/07/2020
191;228;18/07/2019
192;229;04/08/2018
193;230;22/08/2020
194;231;08/05/2018
195;234;04/12/2018
196;236;13/03/2020
197;237;24/06/2020
