id;id_cliente;id_loja;id_produto;dt_venda
1;620;3;2;07/11/2018
2;483;1;9;06/01/2018
3;976;8;3;10/04/2018
4;389;5;6;05/07/2020
5;626;7;8;22/07/2018
6;292;1;4;29/01/2020
7;87;3;3;21/04/2019
8;755;4;9;04/09/2018
9;317;4;4;03/08/2018
10;814;10;7;26/10/2018
11;403;6;3;07/06/2019
12;574;3;4;29/07/2019
13;859;7;2;06/12/2018
14;560;8;8;28/07/2018
15;85;4;8;26/02/2019
16;111;2;10;17/12/2019
17;52;10;1;13/07/2019
18;286;9;4;09/02/2020
19;30;3;10;03/03/2019
20;499;5;2;25/08/2019
21;758;2;5;16/07/2019
22;651;6;3;16/08/2019
23;906;8;5;07/02/2018
24;58;3;9;22/06/2019
25;785;3;3;05/05/2018
26;749;2;9;04/10/2018
27;532;5;7;12/05/2019
28;950;7;3;21/12/2018
29;211;9;3;03/01/2019
30;88;1;2;16/07/2018
31;331;10;8;12/01/2018
32;253;8;4;11/01/2018
33;264;1;3;22/02/2020
34;120;1;7;21/04/2018
35;517;6;4;26/03/2020
36;538;1;1;27/07/2020
37;898;3;9;15/08/2019
38;349;7;5;02/03/2019
39;586;6;7;30/03/2020
40;911;8;1;21/05/2020
41;815;2;6;03/05/2018
42;651;3;6;19/07/2019
43;226;7;6;13/09/2019
44;274;4;1;20/05/2018
45;234;6;10;03/08/2019
46;501;4;2;20/06/2018
47;239;6;3;09/12/2019
48;337;8;2;31/10/2019
49;976;10;2;16/05/2019
50;862;2;3;27/02/2020
51;511;6;6;13/01/2018
52;889;10;6;04/10/2018
53;20;9;5;12/08/2018
54;836;5;4;27/02/2019
55;844;8;10;02/06/2020
56;213;3;1;27/06/2018
57;209;8;3;18/03/2020
58;110;9;1;29/05/2020
59;388;4;1;16/08/2020
60;259;9;8;27/02/2019
61;825;10;7;24/06/2019
62;365;8;3;13/06/2020
63;126;8;10;10/07/2018
64;775;5;6;28/06/2019
65;509;1;2;02/11/2018
66;146;1;3;21/02/2020
67;994;9;1;26/11/2019
68;98;4;5;25/05/2019
69;897;9;2;10/07/2020
70;790;7;2;10/04/2020
71;929;8;5;26/02/2018
72;831;1;4;29/02/2020
73;648;9;1;07/07/2018
74;604;5;8;06/04/2020
75;858;6;9;31/05/2020
76;34;6;7;17/03/2018
77;504;5;9;26/07/2018
78;911;4;6;06/08/2018
79;503;2;10;18/08/2020
80;18;1;5;05/04/2020
81;814;2;9;20/04/2018
82;358;2;2;23/07/2018
83;301;6;4;14/08/2020
84;360;3;1;19/07/2020
85;922;4;8;25/12/2019
86;240;7;8;27/03/2020
87;281;8;5;01/09/2018
88;761;4;3;16/05/2019
89;731;1;10;06/08/2020
90;957;2;3;14/02/2020
91;484;8;8;30/08/2019
92;69;4;6;29/10/2018
93;699;1;10;13/07/2019
94;44;2;3;14/12/2018
95;77;2;4;05/07/2020
96;481;3;4;24/01/2019
97;417;6;5;22/03/2020
98;407;2;5;06/06/2018
99;210;8;2;21/07/2018
100;40;7;4;04/07/2018
101;650;10;5;01/02/2019
102;231;7;3;24/12/2018
103;409;1;9;23/08/2020
104;959;6;3;12/06/2019
105;830;9;5;14/05/2019
106;405;9;6;23/02/2019
107;314;1;8;27/03/2019
108;881;3;3;21/07/2019
109;236;7;1;02/02/2019
110;609;6;10;16/08/2018
111;547;7;10;13/06/2019
112;504;7;1;24/07/2018
113;973;7;7;17/11/2019
114;666;10;8;25/02/2018
115;114;2;5;09/10/2019
116;981;8;7;23/05/2019
117;836;1;9;23/03/2019
118;221;4;10;09/01/2020
119;307;6;6;04/10/2019
120;1;10;6;30/06/2018
121;211;10;2;18/01/2018
122;346;7;8;08/05/2020
123;70;1;3;01/12/2019
124;321;7;1;01/07/2019
125;310;6;1;30/11/2018
126;932;4;4;14/01/2018
127;425;1;6;11/07/2018
128;998;3;3;11/06/2020
129;897;9;8;05/12/2019
130;738;8;8;12/09/2019
131;472;10;8;11/03/2020
132;279;1;2;13/10/2018
133;499;5;9;08/08/2019
134;474;5;5;17/11/2019
135;52;10;5;20/03/2020
136;41;5;6;08/03/2020
137;777;10;5;13/09/2020
138;239;2;4;22/03/2019
139;160;9;7;27/12/2018
140;70;4;8;31/07/2020
141;671;2;9;25/11/2018
142;931;1;2;29/10/2019
143;411;8;3;13/02/2020
144;14;3;4;13/04/2020
145;778;9;9;11/03/2019
146;593;1;9;14/08/2019
147;836;10;9;09/11/2018
148;488;7;1;10/05/2018
149;781;10;4;14/03/2018
150;533;8;5;31/12/2019
151;256;6;8;18/04/2019
152;472;4;7;08/02/2019
153;789;6;4;18/05/2020
154;17;3;2;24/11/2018
155;810;6;10;04/06/2020
156;816;8;7;06/11/2019
157;857;2;8;18/03/2020
158;704;9;6;31/01/2018
159;866;3;4;21/01/2020
160;561;6;5;03/12/2018
161;646;3;3;03/07/2020
162;658;3;8;18/05/2020
163;737;1;2;21/05/2018
164;358;10;5;12/04/2018
165;941;10;9;16/02/2020
166;641;7;3;09/03/2020
167;858;7;8;08/07/2019
168;745;9;9;24/06/2018
169;487;3;9;29/03/2020
170;36;9;2;03/01/2020
171;296;7;5;22/06/2020
172;188;1;9;30/06/2018
173;654;1;6;15/01/2018
174;527;10;9;14/08/2018
175;133;10;6;21/12/2018
176;155;3;3;22/02/2018
177;571;6;5;24/05/2020
178;570;8;3;09/09/2018
179;387;2;10;26/06/2020
180;283;2;2;07/08/2019
181;336;9;6;08/03/2018
182;937;7;10;07/02/2020
183;771;3;9;15/03/2019
184;506;5;8;18/03/2019
185;32;1;1;31/10/2019
186;929;10;1;09/09/2018
187;540;7;6;04/01/2020
188;383;5;9;14/06/2020
189;114;5;6;23/08/2018
190;210;1;5;10/05/2019
191;818;1;8;19/09/2020
192;139;9;3;15/12/2018
193;603;6;2;27/12/2019
194;14;5;7;05/07/2018
195;587;10;4;21/12/2018
196;328;6;9;07/09/2018
197;441;10;8;10/07/2019
198;268;2;1;01/03/2018
199;9;7;7;31/01/2020
200;149;8;5;19/05/2018
201;392;9;8;13/11/2018
202;682;5;3;29/02/2020
203;589;4;7;16/04/2018
204;842;6;6;26/07/2020
205;348;9;3;10/05/2019
206;870;9;8;29/05/2020
207;296;7;4;05/07/2019
208;154;1;9;25/01/2019
209;195;4;9;27/07/2018
210;329;8;10;07/06/2019
211;691;4;4;17/03/2020
212;354;1;4;18/12/2018
213;147;10;3;04/10/2019
214;438;10;1;06/08/2019
215;919;3;7;10/06/2019
216;746;1;10;28/02/2018
217;179;5;7;02/03/2019
218;434;1;4;05/03/2018
219;193;9;6;18/05/2018
220;552;8;9;29/05/2020
221;831;9;1;03/02/2018
222;761;2;6;22/03/2019
223;675;3;4;27/03/2018
224;492;1;1;26/03/2019
225;318;4;10;08/04/2020
226;169;9;9;13/11/2018
227;939;2;9;29/06/2020
228;870;10;1;07/06/2019
229;961;6;10;30/06/2018
230;178;9;2;15/07/2020
231;645;1;3;27/04/2018
232;355;1;1;03/08/2020
233;917;4;9;19/01/2018
234;935;2;4;23/10/2018
235;396;10;4;06/06/2018
236;144;1;1;12/03/2020
237;709;10;10;16/06/2020
238;581;10;10;02/03/2018
239;829;9;5;03/05/2020
240;703;1;5;01/07/2018
241;251;2;2;24/09/2020
242;661;1;2;20/05/2019
243;704;9;10;08/04/2020
244;963;5;5;14/05/2020
245;1;3;7;12/06/2019
246;767;10;6;19/09/2020
247;494;4;8;03/07/2019
248;991;1;5;22/04/2019
249;661;1;6;22/09/2019
250;525;4;1;18/08/2020
251;572;7;6;03/04/2020
252;15;1;1;17/06/2020
253;784;9;3;04/06/2019
254;501;9;4;20/09/2020
255;173;3;8;07/09/2020
256;274;8;6;19/07/2020
